Order ID,Order Date,Ship Date,Delivery Date,Product type,SKU,Category,Price,Discount (%),Price_After_Discount,Number of products sold,Units Returned,Return Reason,Revenue generated,Profit,Customer Satisfaction Score,Customer demographics,Sales Channel,Payment Method,Region,Stock levels,Reorder Point,Stockout Risk,Lead time,Shipping times,Shipping costs,On-Time Delivery,Supplier name,Supplier Reliability Score,Manufacturing costs,Quality Score,Defect rates,Production volumes,Carrier Name,Transportation Mode
ORD1000,19/06/2022,23/06/2022,28/06/2022,Smartphones,SKU0000,Premium,1159.56,13.92,998.15,406,17,Defective,405248.9,211536.65,3.7,Female,Online,Digital Wallet,Central,226,176,No,8,5,38.07,Yes,Supplier 5,0.606,477.03,23.11,7.6892,1084,DHL,Road
ORD1001,30/03/2022,31/03/2022,11/04/2022,Tablets,SKU0001,Premium,750.06,4.16,718.86,100,9,Defective,71886,44451.19,2.5,Male,Direct Sales,Invoice,West,254,97,No,24,11,271.81,Yes,Supplier 4,0.752,271.63,84.46,1.5544,372,OnTrac,Air
ORD1002,02/02/2023,04/02/2023,14/02/2023,Laptops,SKU0002,Premium,1867.08,14.9,1588.89,240,0,,381333.6,148385.69,4.7,Male,Direct Sales,Credit Card,North,291,336,Yes,24,10,327.91,Yes,Supplier 2,0.655,969.25,14.26,8.5742,558,DHL,Air
ORD1003,03/03/2023,04/03/2023,07/03/2023,Smartwatches,SKU0003,Premium,361.14,9.73,326,381,51,Not as Described,124206,74029.76,2,Non-binary,Online,Invoice,Central,130,305,Yes,15,3,250,Yes,Supplier 5,0.625,131.04,73.61,2.639,537,DHL,Air
ORD1004,25/06/2024,30/06/2024,06/07/2024,Laptops,SKU0004,Premium,2067.2,11.38,1831.95,365,31,Changed Mind,668661.75,255252.57,2.9,Male,Direct Sales,Digital Wallet,West,151,195,Yes,10,6,28.43,Yes,Supplier 3,0.666,1132.55,59.59,4.0412,1109,FedEx,Road
ORD1005,28/02/2022,03/03/2022,14/03/2022,Smartphones,SKU0005,Mid-Range,453.01,7.14,420.67,476,17,Defective,200238.92,90648.92,4.1,Non-binary,Wholesale,Cash,Central,120,555,Yes,22,11,81.44,Yes,Supplier 3,0.659,230.06,32.42,6.7584,626,UPS,Sea
ORD1006,28/10/2022,31/10/2022,04/11/2022,Smartphones,SKU0006,Mid-Range,308.76,14.16,265.04,486,55,Damaged in Shipping,128809.44,56684.59,2.2,Female,Direct Sales,Digital Wallet,North,170,470,Yes,17,4,366.95,Yes,Supplier 5,0.628,147.65,63.3,3.6698,689,FedEx,Air
ORD1007,20/05/2023,23/05/2023,29/05/2023,Tablets,SKU0007,Premium,949.4,5.77,894.62,482,14,Damaged in Shipping,431206.84,267379.57,4.2,Female,Retail Store,Bank Transfer,East,209,337,Yes,6,6,222.01,Yes,Supplier 5,0.805,339.43,65.44,3.456,847,Blue Dart,Sea
ORD1008,27/06/2024,02/07/2024,15/07/2024,Smartphones,SKU0008,Premium,812.33,12.57,710.22,109,5,Defective,77413.98,39353.66,3.7,Unknown,Retail Store,Bank Transfer,South,82,116,Yes,17,13,640.62,Yes,Supplier 3,0.643,343.3,32.4,6.7598,262,FedEx,Air
ORD1009,08/10/2023,11/10/2023,23/10/2023,Smartphones,SKU0009,Mid-Range,224.77,13.18,195.15,327,15,Not as Described,63814.05,35500.9,3.7,Female,Direct Sales,Digital Wallet,South,134,262,Yes,10,12,11.3,No,Supplier 3,0.831,86.55,80.72,1.9275,642,FedEx,Road
